<<<<<<< HEAD
1	0.309735	0.264851	0.264851	0.0198013
3	0.162402	0.153322	0.128078	0.00371683
7	0.0692076	0.0844096	0.0284689	0.000842878
15	0.0318299	0.0455105	0.0475078	0.000204356
31	0.0187332	0.0242508	0.0345912	5.09741e-05
63	0.0207794	0.0128234	0.0208786	1.28772e-05
127	0.00906585	0.0067437	0.0116959	3.27136e-06
255	0.00199708	0.00353176	0.00632451	8.32901e-07
511	0.000603482	0.00184358	0.00335788	2.12079e-07
1023	0.00193482	0.000959783	0.00176475	5.38638e-08
=======
1	0.0930082	0.264851	0.264851	0.0198013
3	0.00638959	0.153322	0.128078	0.00371683
7	0.0564085	0.0844096	0.0284689	0.000842878
15	0.0299244	0.0455105	0.0475078	0.000204356
31	0.0271174	0.0242508	0.0345912	5.09741e-05
63	0.00930109	0.0128234	0.0208786	1.28772e-05
127	0.01346	0.0067437	0.0116959	3.27136e-06
255	0.0117118	0.00353176	0.00632451	8.32901e-07
511	5.24558e-05	0.00184358	0.00335788	2.12079e-07
1023	0.0159147	0.000959783	0.00176475	5.38638e-08
>>>>>>> 5698adb8a4158e7709f45e4ece8961def7982db3
