0.03	0.65	0
0.03	0.66	0
0.03	0.67	0
0.03	0.68	0
0.03	0.69	0
0.03	0.7	0.0984909
0.03	0.71	0.245528
0.03	0.72	0.398083
0.03	0.73	0.556599
0.03	0.74	0.721574
0.03	0.75	0.893565
0.03	0.76	1.0732
0.03	0.77	1.2612
0.03	0.78	1.45837
0.03	0.79	1.66565
0.03	0.8	1.88411
0.03	0.81	2.115
0.03	0.82	2.3598
0.03	0.83	2.62022
0.03	0.84	2.89833
0.03	0.85	3.1966
0.03	0.86	3.51806
0.03	0.87	3.86645
0.03	0.88	4.24642
0.03	0.89	4.66396
0.03	0.9	5.12682
0.03	0.91	5.64537
0.03	0.92	6.23386
0.03	0.93	6.9126
0.03	0.94	7.71186
0.03	0.95	8.6796
0.03	0.96	9.89821
0.03	0.97	11.5268
0.03	0.98	13.9374
0.03	0.99	18.3889
0.04	0.01	0
0.04	0.02	0
0.04	0.03	0
0.04	0.04	0
0.04	0.05	0
0.04	0.06	0
0.04	0.07	0
0.04	0.08	0
0.04	0.09	0
0.04	0.1	0
0.04	0.11	0
0.04	0.12	0
0.04	0.13	0
0.04	0.14	0
0.04	0.15	0
0.04	0.16	0
0.04	0.17	0
0.04	0.18	0
0.04	0.19	0
0.04	0.2	0
0.04	0.21	0
0.04	0.22	0
0.04	0.23	0
0.04	0.24	0
0.04	0.25	0
0.04	0.26	0
0.04	0.27	0
0.04	0.28	0
0.04	0.29	0
0.04	0.3	0
0.04	0.31	0
0.04	0.32	0
0.04	0.33	0
0.04	0.34	0
0.04	0.35	0
0.04	0.36	0
0.04	0.37	0
0.04	0.38	0
0.04	0.39	0
0.04	0.4	0
0.04	0.41	0
0.04	0.42	0
0.04	0.43	0
0.04	0.44	0
0.04	0.45	0
0.04	0.46	0
0.04	0.47	0
0.04	0.48	0
0.04	0.49	0
0.04	0.5	0
0.04	0.51	0
0.04	0.52	0
0.04	0.53	0
0.04	0.54	0
0.04	0.55	0
0.04	0.56	0
0.04	0.57	0
0.04	0.58	0
0.04	0.59	0
0.04	0.6	0
0.04	0.61	0
0.04	0.62	0
0.04	0.63	0
0.04	0.64	0
0.04	0.65	0
0.04	0.66	0
0.04	0.67	0
0.04	0.68	0
0.04	0.69	0.0707381
0.04	0.7	0.212657
0.04	0.71	0.359695
0.04	0.72	0.512249
0.04	0.73	0.670766
0.04	0.74	0.83574
0.04	0.75	1.00773
0.04	0.76	1.18737
0.04	0.77	1.37537
0.04	0.78	1.57254
0.04	0.79	1.77981
0.04	0.8	1.99827
0.04	0.81	2.22917
0.04	0.82	2.47396
0.04	0.83	2.73438
0.04	0.84	3.01249
0.04	0.85	3.31077
0.04	0.86	3.63223
0.04	0.87	3.98061
0.04	0.88	4.36059
0.04	0.89	4.77812
0.04	0.9	5.24098
0.04	0.91	5.75954
0.04	0.92	6.34803
0.04	0.93	7.02676
0.04	0.94	7.82602
0.04	0.95	8.79377
0.04	0.96	10.0124
0.04	0.97	11.641
0.04	0.98	14.0515
0.04	0.99	18.5031
0.05	0.01	0
0.05	0.02	0
0.05	0.03	0
0.05	0.04	0
0.05	0.05	0
0.05	0.06	0
0.05	0.07	0
0.05	0.08	0
0.05	0.09	0
0.05	0.1	0
0.05	0.11	0
0.05	0.12	0
0.05	0.13	0
0.05	0.14	0
0.05	0.15	0
0.05	0.16	0
0.05	0.17	0
0.05	0.18	0
0.05	0.19	0
0.05	0.2	0
0.05	0.21	0
0.05	0.22	0
0.05	0.23	0
0.05	0.24	0
0.05	0.25	0
0.05	0.26	0
0.05	0.27	0
0.05	0.28	0
0.05	0.29	0
0.05	0.3	0
0.05	0.31	0
0.05	0.32	0
0.05	0.33	0
0.05	0.34	0
0.05	0.35	0
0.05	0.36	0
0.05	0.37	0
0.05	0.38	0
0.05	0.39	0
0.05	0.4	0
0.05	0.41	0
0.05	0.42	0
0.05	0.43	0
0.05	0.44	0
0.05	0.45	0
0.05	0.46	0
0.05	0.47	0
0.05	0.48	0
0.05	0.49	0
0.05	0.5	0
0.05	0.51	0
0.05	0.52	0
0.05	0.53	0
0.05	0.54	0
0.05	0.55	0
0.05	0.56	0
0.05	0.57	0
0.05	0.58	0
0.05	0.59	0
0.05	0.6	0
0.05	0.61	0
0.05	0.62	0
0.05	0.63	0
0.05	0.64	0
0.05	0.65	0
0.05	0.66	0
0.05	0.67	0
0.05	0.68	0.0345103
0.05	0.69	0.17167
0.05	0.7	0.31359
0.05	0.71	0.460627
0.05	0.72	0.613182
0.05	0.73	0.771698
0.05	0.74	0.936673
0.05	0.75	1.10866
0.05	0.76	1.2883
0.05	0.77	1.4763
0.05	0.78	1.67347
0.05	0.79	1.88075
0.05	0.8	2.09921
0.05	0.81	2.3301
0.05	0.82	2.5749
0.05	0.83	2.83532
0.05	0.84	3.11342
0.05	0.85	3.4117
0.05	0.86	3.73316
0.05	0.87	4.08154
0.05	0.88	4.46152
0.05	0.89	4.87905
0.05	0.9	5.34192
0.05	0.91	5.86047
0.05	0.92	6.44896
0.05	0.93	7.12769
0.05	0.94	7.92696
0.05	0.95	8.8947
0.05	0.96	10.1133
0.05	0.97	11.7419
0.05	0.98	14.1524
0.05	0.99	18.604
0.06	0.01	0
0.06	0.02	0
0.06	0.03	0
0.06	0.04	0
0.06	0.05	0
0.06	0.06	0
0.06	0.07	0
0.06	0.08	0
0.06	0.09	0
0.06	0.1	0
0.06	0.11	0
0.06	0.12	0
0.06	0.13	0
0.06	0.14	0
0.06	0.15	0
0.06	0.16	0
0.06	0.17	0
0.06	0.18	0
0.06	0.19	0
0.06	0.2	0
0.06	0.21	0
0.06	0.22	0
0.06	0.23	0
0.06	0.24	0
0.06	0.25	0
0.06	0.26	0
0.06	0.27	0
0.06	0.28	0
0.06	0.29	0
0.06	0.3	0
0.06	0.31	0
0.06	0.32	0
0.06	0.33	0
0.06	0.34	0
0.06	0.35	0
0.06	0.36	0
0.06	0.37	0
0.06	0.38	0
0.06	0.39	0
0.06	0.4	0
0.06	0.41	0
